               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037012,           0.0087746,           0.0036311,             0.84836,             0.93729,             0.95588,               0.518,            0.037797,           0.0067459,           0.0022637,            0.070349,           0.0032946,           0.0032946
                   1,            0.041918,           0.0086202,           0.0038383,             0.85099,             0.83967,             0.91047,             0.47565,            0.036906,           0.0073028,           0.0039683,            0.040316,           0.0065951,           0.0065951
                   2,            0.047337,           0.0090568,           0.0050478,             0.81627,             0.68123,             0.78223,             0.36108,            0.048344,           0.0079816,           0.0078103,             0.01025,           0.0098626,           0.0098626
                   3,            0.048289,           0.0095331,           0.0059376,             0.86669,             0.72954,             0.85301,             0.41868,            0.038988,            0.008378,           0.0059813,           0.0098515,           0.0098515,           0.0098515
                   4,            0.047706,           0.0094345,           0.0060399,             0.55562,             0.73309,             0.64739,             0.31698,            0.045668,            0.009501,            0.010165,           0.0098515,           0.0098515,           0.0098515
                   5,            0.046339,           0.0093958,           0.0050179,             0.62428,              0.6534,             0.66811,             0.29703,            0.052086,           0.0095078,            0.027202,            0.009802,            0.009802,            0.009802
                   6,            0.044918,           0.0092376,           0.0050059,             0.76605,              0.4338,             0.45342,             0.20924,            0.056638,            0.011319,            0.030058,           0.0097525,           0.0097525,           0.0097525
                   7,            0.044399,           0.0090841,           0.0046781,             0.74353,              0.6899,             0.72938,             0.36651,            0.040174,            0.009211,            0.016899,            0.009703,            0.009703,            0.009703
                   8,             0.04233,           0.0087488,           0.0038273,             0.92845,             0.81659,             0.89953,             0.47501,             0.03825,           0.0076538,            0.004726,           0.0096535,           0.0096535,           0.0096535
                   9,            0.041659,           0.0085476,            0.003679,             0.88978,             0.59133,             0.64246,             0.32617,            0.045991,            0.010827,            0.019252,            0.009604,            0.009604,            0.009604
                  10,            0.040347,           0.0086187,           0.0031589,              0.7332,             0.73867,             0.73545,             0.40208,            0.041972,           0.0087542,           0.0087064,           0.0095545,           0.0095545,           0.0095545
                  11,            0.039979,            0.008452,           0.0030712,             0.85563,             0.95155,             0.90127,             0.52851,            0.033348,           0.0070359,           0.0022594,            0.009505,            0.009505,            0.009505
                  12,            0.038577,           0.0084703,           0.0029635,             0.84842,             0.76352,              0.8791,             0.49726,            0.033926,           0.0089088,           0.0033474,           0.0094555,           0.0094555,           0.0094555
                  13,            0.037756,           0.0082051,           0.0026107,             0.85038,             0.58795,              0.6661,             0.36571,             0.05167,            0.011233,            0.021227,            0.009406,            0.009406,            0.009406
                  14,            0.037657,           0.0084208,            0.002679,             0.90729,             0.93523,             0.94837,             0.56055,            0.030893,           0.0065152,           0.0016303,           0.0093565,           0.0093565,           0.0093565
                  15,            0.036315,           0.0081974,           0.0027284,             0.92982,              0.9068,             0.95811,             0.55867,            0.030241,           0.0066619,           0.0020339,            0.009307,            0.009307,            0.009307
                  16,            0.036353,           0.0082264,           0.0025839,               0.873,             0.86107,             0.91176,             0.51532,            0.032395,           0.0075779,            0.014382,           0.0092575,           0.0092575,           0.0092575
                  17,             0.03578,           0.0079767,            0.002246,             0.95487,             0.87562,             0.96063,             0.53746,            0.030791,           0.0066368,           0.0014703,            0.009208,            0.009208,            0.009208
                  18,            0.035567,           0.0078998,           0.0021343,             0.88314,             0.86445,             0.92351,             0.54296,            0.033768,           0.0078894,           0.0088865,           0.0091585,           0.0091585,           0.0091585
                  19,            0.035142,           0.0078174,           0.0025256,             0.73064,             0.55751,             0.62736,             0.29507,            0.044929,            0.013491,            0.028074,            0.009109,            0.009109,            0.009109
                  20,            0.034492,           0.0077871,           0.0021408,             0.90875,             0.94664,              0.9721,             0.57174,            0.030351,           0.0067601,           0.0018508,           0.0090595,           0.0090595,           0.0090595
                  21,            0.034352,           0.0075563,           0.0019823,             0.95408,             0.94677,             0.97548,             0.57211,            0.028212,           0.0063646,           0.0012389,             0.00901,             0.00901,             0.00901
                  22,             0.03411,            0.007764,           0.0020537,             0.83248,             0.80307,             0.88013,             0.49738,             0.03761,           0.0078127,            0.014021,           0.0089605,           0.0089605,           0.0089605
                  23,            0.033581,           0.0077102,           0.0019747,             0.94372,             0.91089,             0.96137,              0.5539,            0.030702,               0.007,            0.001583,            0.008911,            0.008911,            0.008911
                  24,            0.033618,           0.0077794,           0.0020716,             0.90296,              0.9011,             0.93043,             0.56307,            0.031283,            0.006535,           0.0010136,           0.0088615,           0.0088615,           0.0088615
                  25,             0.03271,            0.007485,           0.0015886,             0.96285,             0.94317,             0.98249,             0.60346,            0.028039,           0.0063444,           0.0014501,            0.008812,            0.008812,            0.008812
                  26,            0.032925,           0.0075832,           0.0019855,             0.86272,             0.88205,             0.91326,             0.49826,            0.032228,           0.0078215,           0.0026416,           0.0087625,           0.0087625,           0.0087625
                  27,            0.032927,           0.0074459,           0.0015478,             0.92209,             0.88542,             0.92943,             0.52941,             0.03288,           0.0078061,           0.0019359,            0.008713,            0.008713,            0.008713
